date,city,region_x,country,avg_temp_c,avg_humidity,condition_text,condition_icon,uv,sunrise,sunset,day_of_month,month_of_year,year,day_of_week,year_and_week,sunrise_time,sunset_time,daylight_int,day_condition,daylight_time,weekly_avg_uv,alpha-3,region_y
2023-08-08,Lisbon,Lisboa,Portugal,24.8,55.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.0,06:44 AM,08:40 PM,8.0,august   ,2023.0,tuesday  ,32.0,06:44:00,20:40:00,-13:56:00,1,2024-04-18 13:56:00,5.0,PRT,Europe
2023-08-21,Lisbon,Lisboa,Portugal,25.1,49.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.0,06:55 AM,08:23 PM,21.0,august   ,2023.0,monday   ,34.0,06:55:00,20:23:00,-13:28:00,1,2024-04-18 13:28:00,5.0,PRT,Europe
2023-12-22,Lisbon,Lisboa,Portugal,12.5,62.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.0,07:51 AM,05:19 PM,22.0,december ,2023.0,friday   ,51.0,07:51:00,17:19:00,-09:28:00,1,2024-04-18 09:28:00,5.0,PRT,Europe
2023-12-23,Lisbon,Lisboa,Portugal,11.4,61.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.0,07:52 AM,05:19 PM,23.0,december ,2023.0,saturday ,51.0,07:52:00,17:19:00,-09:27:00,1,2024-04-18 09:27:00,5.0,PRT,Europe
2023-12-24,Lisbon,Lisboa,Portugal,10.4,67.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.0,07:52 AM,05:20 PM,24.0,december ,2023.0,sunday   ,51.0,07:52:00,17:20:00,-09:28:00,2,2024-04-18 09:28:00,5.0,PRT,Europe
2023-12-26,Lisbon,Lisboa,Portugal,11.5,81.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.0,07:53 AM,05:21 PM,26.0,december ,2023.0,tuesday  ,52.0,07:53:00,17:21:00,-09:28:00,2,2024-04-18 09:28:00,5.0,PRT,Europe
2023-12-21,Lisbon,Lisboa,Portugal,11.9,67.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.0,07:51 AM,05:18 PM,21.0,december ,2023.0,thursday ,51.0,07:51:00,17:18:00,-09:27:00,1,2024-04-18 09:27:00,5.0,PRT,Europe
2023-12-25,Lisbon,Lisboa,Portugal,11.2,65.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.0,07:53 AM,05:21 PM,25.0,december ,2023.0,monday   ,52.0,07:53:00,17:21:00,-09:28:00,2,2024-04-18 09:28:00,5.0,PRT,Europe
2023-12-27,Lisbon,Lisboa,Portugal,11.3,81.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.0,07:54 AM,05:22 PM,27.0,december ,2023.0,wednesday,52.0,07:54:00,17:22:00,-09:28:00,2,2024-04-18 09:28:00,5.0,PRT,Europe
2023-12-19,Lisbon,Lisboa,Portugal,10.3,63.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,4.0,07:50 AM,05:17 PM,19.0,december ,2023.0,tuesday  ,51.0,07:50:00,17:17:00,-09:27:00,1,2024-04-18 09:27:00,5.0,PRT,Europe
2023-12-28,Izmir,Izmir,Turkey,12.3,74.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.0,08:27 AM,05:58 PM,28.0,december ,2023.0,thursday ,52.0,08:27:00,17:58:00,-09:31:00,1,2024-04-18 09:31:00,5.0,TUR,Asia
2023-12-17,Lisbon,Lisboa,Portugal,10.9,63.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.0,07:49 AM,05:17 PM,17.0,december ,2023.0,sunday   ,50.0,07:49:00,17:17:00,-09:28:00,1,2024-04-18 09:28:00,5.0,PRT,Europe
2023-12-07,Izmir,Izmir,Turkey,13.3,82.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,4.0,08:15 AM,05:51 PM,7.0,december ,2023.0,thursday ,49.0,08:15:00,17:51:00,-09:36:00,0,2024-04-18 09:36:00,5.0,TUR,Asia
2023-12-08,Izmir,Izmir,Turkey,11.6,78.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,3.0,08:15 AM,05:51 PM,8.0,december ,2023.0,friday   ,49.0,08:15:00,17:51:00,-09:36:00,0,2024-04-18 09:36:00,5.0,TUR,Asia
2023-12-09,Izmir,Izmir,Turkey,8.1,80.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,2.0,08:16 AM,05:51 PM,9.0,december ,2023.0,saturday ,49.0,08:16:00,17:51:00,-09:35:00,0,2024-04-18 09:35:00,5.0,TUR,Asia
2023-12-10,Izmir,Izmir,Turkey,9.0,76.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.0,08:17 AM,05:51 PM,10.0,december ,2023.0,sunday   ,49.0,08:17:00,17:51:00,-09:34:00,2,2024-04-18 09:34:00,5.0,TUR,Asia
2023-12-11,Izmir,Izmir,Turkey,11.3,71.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.0,08:18 AM,05:51 PM,11.0,december ,2023.0,monday   ,50.0,08:18:00,17:51:00,-09:33:00,2,2024-04-18 09:33:00,5.0,TUR,Asia
2023-12-12,Izmir,Izmir,Turkey,11.0,77.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.0,08:19 AM,05:51 PM,12.0,december ,2023.0,tuesday  ,50.0,08:19:00,17:51:00,-09:32:00,2,2024-04-18 09:32:00,5.0,TUR,Asia
2023-12-13,Izmir,Izmir,Turkey,11.9,66.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,4.0,08:19 AM,05:51 PM,13.0,december ,2023.0,wednesday,50.0,08:19:00,17:51:00,-09:32:00,2,2024-04-18 09:32:00,5.0,TUR,Asia
